episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
76,22000,0.0
83,24000,0.0
90,26000,0.0
97,28000,0.0
104,30000,0.0
111,32000,0.0
118,34000,0.0
124,36000,0.0
131,38000,0.0
138,40000,0.0
145,42000,0.0
152,44000,0.0
159,46000,0.0
166,48000,0.0
173,50000,0.0
180,52000,0.0
187,54000,0.0
194,56000,0.0
201,58000,0.0
208,60000,0.0
215,62000,0.0
222,64000,0.0
229,66000,0.0
236,68000,0.0
243,70000,0.0
249,72000,0.0
256,74000,0.0
263,76000,0.0
270,78000,0.0
277,80000,0.0
284,82000,0.0
291,84000,0.0
298,86000,0.0
305,88000,0.0
312,90000,0.0
319,92000,0.0
326,94000,0.0
333,96000,0.0
340,98000,0.0
347,100000,0.0
354,102000,0.0
361,104000,0.0
368,106000,0.0
374,108000,0.0
381,110000,0.0
388,112000,0.0
395,114000,0.0
402,116000,0.0
409,118000,0.0
416,120000,0.0
423,122000,0.0
430,124000,0.0
437,126000,0.0
444,128000,0.0
451,130000,0.0
458,132000,0.0
465,134000,0.0
472,136000,0.0
479,138000,0.0
486,140000,0.0
493,142000,0.0
499,144000,0.0
506,146000,0.0
513,148000,0.0
520,150000,0.0
527,152000,0.0
534,154000,0.0
541,156000,0.0
548,158000,0.0
555,160000,0.0
562,162000,0.0
569,164000,0.0
576,166000,0.0
583,168000,0.0
590,170000,0.0
597,172000,0.0
604,174000,0.0
611,176000,0.0
618,178000,0.0
624,180000,0.0
631,182000,0.0
638,184000,0.0
645,186000,0.0
652,188000,0.0
659,190000,0.0
666,192000,0.0
673,194000,0.0
680,196000,0.0
687,198000,0.0
694,200000,0.0
701,202000,0.0
708,204000,0.0
715,206000,0.0
722,208000,0.0
729,210000,0.0
736,212000,0.0
743,214000,0.0
749,216000,0.0
756,218000,0.0
763,220000,0.0
770,222000,0.0
777,224000,0.0
784,226000,0.0
791,228000,0.0
798,230000,0.0
805,232000,0.0
812,234000,0.0
819,236000,0.0
826,238000,0.0
833,240000,0.0
840,242000,0.0
847,244000,0.0
854,246000,0.0
861,248000,0.0
868,250000,0.0
874,252000,0.0
881,254000,0.0
888,256000,0.0
895,258000,0.0
902,260000,0.0
909,262000,0.0
916,264000,0.0
923,266000,0.0
930,268000,0.0
937,270000,0.0
944,272000,0.0
951,274000,0.0
958,276000,0.0
965,278000,0.0
972,280000,0.0
979,282000,0.0
986,284000,0.0
993,286000,0.0
999,288000,0.0
1006,290000,0.0
1013,292000,0.0
1020,294000,0.0
1027,296000,0.0
1034,298000,0.0
1041,300000,0.0
1048,302000,0.0
1055,304000,0.0
1062,306000,0.0
1069,308000,0.0
1076,310000,0.0
1083,312000,0.0
1090,314000,0.0
1097,316000,0.0
1104,318000,0.0
1111,320000,0.0
1118,322000,0.0
1124,324000,0.0
1131,326000,0.0
1138,328000,0.0
1145,330000,0.0
1152,332000,0.0
1159,334000,0.0
1166,336000,0.0
1173,338000,0.0
1180,340000,0.0
1187,342000,0.0
1194,344000,0.0
1201,346000,0.0
1208,348000,0.0
1215,350000,0.0
1222,352000,0.0
1229,354000,0.0
1236,356000,0.0
1243,358000,0.0
1249,360000,0.0
1256,362000,0.0
1263,364000,0.0
1270,366000,0.0
1277,368000,0.0
1284,370000,0.0
1291,372000,0.0
1298,374000,0.0
1305,376000,0.0
1312,378000,0.0
1319,380000,0.0
1326,382000,0.0
1333,384000,0.0
1340,386000,0.0
1347,388000,0.0
1354,390000,0.0
1361,392000,0.0
1368,394000,0.0
1374,396000,0.0
1381,398000,0.0
1388,400000,0.0
1395,402000,0.0
1402,404000,0.0
1409,406000,0.0
1416,408000,0.0
1423,410000,0.0
1430,412000,0.0
1437,414000,0.0
1444,416000,0.0
1451,418000,0.0
1458,420000,0.0
1465,422000,0.0
1472,424000,0.0
1479,426000,0.0
1486,428000,0.0
1493,430000,0.0
1499,432000,0.0
1506,434000,0.0
1513,436000,0.0
1520,438000,0.0
1527,440000,0.0
1534,442000,0.0
1541,444000,0.0
1548,446000,0.0
1555,448000,0.0
1562,450000,0.0
1569,452000,0.0
1576,454000,0.0
1583,456000,0.0
1590,458000,0.0
1597,460000,0.0
1604,462000,0.0
1611,464000,0.0
1618,466000,0.0
1624,468000,0.0
1631,470000,0.0
1638,472000,0.0
1645,474000,0.0
1652,476000,0.0
1659,478000,0.0
1666,480000,0.0
1673,482000,0.0
1680,484000,0.0
1687,486000,0.0
1694,488000,0.0
1701,490000,0.0
1708,492000,0.0
1715,494000,0.0
1722,496000,0.0
1729,498000,0.0
1736,500000,0.0
1743,502000,0.0
1749,504000,0.0
1756,506000,0.0
1763,508000,0.0
1770,510000,0.0
1777,512000,0.0
1784,514000,0.0
1791,516000,0.0
1798,518000,0.0
1805,520000,0.0
1812,522000,0.0
1819,524000,0.0
1826,526000,0.0
1833,528000,0.0
1840,530000,0.0
1847,532000,0.0
1854,534000,0.0
1861,536000,0.0
1868,538000,0.0
1874,540000,0.0
1881,542000,0.0
1888,544000,0.0
1895,546000,0.0
1902,548000,0.0
1909,550000,0.0
1916,552000,0.0
1923,554000,0.0
1930,556000,0.0
1937,558000,0.0
1944,560000,0.0527
1951,562000,0.0
1958,564000,0.0
1965,566000,0.0
1972,568000,0.0
1979,570000,0.0
1986,572000,0.0
1993,574000,0.0
2000,576000,0.0
2007,578000,0.0
2014,580000,0.0
2021,582000,0.0
2028,584000,0.0
2035,586000,0.0
2041,588000,0.0
2048,590000,0.0
2055,592000,0.0
2062,594000,0.0
2069,596000,0.0
2076,598000,0.0
2083,600000,0.0
2090,602000,0.0
2097,604000,0.0
2104,606000,0.0
2111,608000,0.0
2118,610000,0.0
2125,612000,0.0
2132,614000,0.0
2139,616000,0.0
2146,618000,0.0
2153,620000,0.0
2160,622000,0.0
2166,624000,0.0
2173,626000,0.0
2180,628000,0.0
2187,630000,0.0
2194,632000,0.0
2201,634000,0.0
2208,636000,0.0
2215,638000,0.0
2222,640000,0.0
2229,642000,0.0
2236,644000,0.0
2243,646000,0.0
2250,648000,0.0
2257,650000,0.0
2264,652000,0.0
2271,654000,0.0
2278,656000,0.0
2285,658000,0.0
2291,660000,0.0
2298,662000,0.0
2305,664000,0.0
2312,666000,0.0
2319,668000,0.0
2326,670000,0.0
2333,672000,0.0
2340,674000,0.0
2347,676000,0.0
2354,678000,0.0
2361,680000,0.0
2368,682000,0.0
2375,684000,0.0
2382,686000,0.0
2389,688000,0.0
2396,690000,0.0
2403,692000,0.0
2410,694000,0.0
2416,696000,0.0
2423,698000,0.0
2430,700000,0.0
2437,702000,0.0
2444,704000,0.0
2451,706000,0.0
2458,708000,0.0
2465,710000,0.0
2472,712000,0.0
2479,714000,0.0
2486,716000,0.0
2493,718000,0.0
2500,720000,0.0
2507,722000,0.0
2514,724000,0.0
2521,726000,0.0
2528,728000,0.0
2535,730000,0.0
2541,732000,0.0
2548,734000,0.0
2555,736000,0.0
2562,738000,0.0
2569,740000,0.0
2576,742000,0.0
2583,744000,0.0
2590,746000,0.0
2598,748000,0.073
2605,750000,0.0
2611,752000,0.0
2618,754000,0.0
2625,756000,0.0
2632,758000,0.0
2639,760000,0.0
2647,762000,0.1648
2654,764000,0.0
2661,766000,0.0
2668,768000,0.0
2676,770000,0.0695
2683,772000,0.0
2689,774000,0.0
2696,776000,0.0
2703,778000,0.0
2710,780000,0.0
2717,782000,0.0
2724,784000,0.0
2731,786000,0.0
2738,788000,0.0
2745,790000,0.0
2752,792000,0.05
2759,794000,0.0
2766,796000,0.0
2773,798000,0.0
2780,800000,0.0
2787,802000,0.0
2794,804000,0.0
2801,806000,0.0
2808,808000,0.0
2815,810000,0.0
2822,812000,0.0
2829,814000,0.0
2836,816000,0.0
2843,818000,0.0
2849,820000,0.0
2857,822000,0.0281
2864,824000,0.0
2871,826000,0.1192
2878,828000,0.0
2885,830000,0.0
2892,832000,0.0
2899,834000,0.0
2906,836000,0.0
2914,838000,0.0949
2921,840000,0.0
2928,842000,0.0705
2935,844000,0.0424
2943,846000,0.0699
2950,848000,0.0
2956,850000,0.0
2963,852000,0.0
2971,854000,0.1402
2979,856000,0.0301
